                    JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror
     1.496,   1,  0.18378520E+07,   0.18580889E+04,  -0.48933769E+06,  -0.97893462E+06,  -0.39229658E+04,   0.30075262E+06,   0.12976669E+06,   0.00000000E+00,   0.68959986E-06,
    11.496,   1,  0.10385521E+09,   0.10017648E+07,  -0.10023207E+07,  -0.11615256E+09,  -0.38960414E+05,   0.24827042E+08,   0.92883270E+07,   0.00000000E+00,   0.11701006E-06,
    21.500,   1,  0.16123874E+09,   0.18720555E+07,  -0.10023207E+07,  -0.19049690E+09,  -0.90768688E+05,   0.33868696E+08,   0.12847352E+08,   0.00000000E+00,   0.23057130E-05,
    31.498,   1,  0.20277258E+09,   0.34626455E+07,  -0.10023207E+07,  -0.24355731E+09,  -0.13717811E+06,   0.43083160E+08,   0.15590001E+08,   0.00000000E+00,   0.58547024E-05,
    41.498,   1,  0.23420250E+09,   0.42237610E+07,  -0.10023207E+07,  -0.26844253E+09,  -0.16138195E+06,   0.51512276E+08,   0.17469498E+08,   0.00000000E+00,   0.30395343E-05,
    51.496,   1,  0.26186685E+09,   0.43475710E+07,  -0.10023207E+07,  -0.29291101E+09,  -0.19430538E+06,   0.62835552E+08,   0.19963906E+08,   0.00000000E+00,   0.40602985E-05,
    61.499,   1,  0.32155264E+09,   0.47298550E+07,  -0.10023207E+07,  -0.31737949E+09,  -0.25951084E+06,   0.75872216E+08,   0.24617630E+08,   0.00000000E+00,   0.20927160E-05,
    71.500,   1,  0.37387450E+09,   0.59363170E+07,  -0.10023207E+07,  -0.34184797E+09,  -0.31252462E+06,   0.89267768E+08,   0.29006862E+08,   0.00000000E+00,   0.14542620E-05,
    81.496,   1,  0.43257306E+09,   0.73006075E+07,  -0.10023207E+07,  -0.37423962E+09,  -0.37736556E+06,   0.10262482E+09,   0.33384954E+08,   0.00000000E+00,   0.12301696E-05,
    91.494,   1,  0.47592438E+09,   0.76434895E+07,  -0.10023207E+07,  -0.41094234E+09,  -0.42967672E+06,   0.11161214E+09,   0.36710672E+08,   0.00000000E+00,   0.11771254E-05,
   101.498,   1,  0.56374170E+09,   0.82952655E+07,  -0.10023207E+07,  -0.44764506E+09,  -0.47347028E+06,   0.11905850E+09,   0.45359160E+08,   0.00000000E+00,   0.87468703E-06,
   111.498,   1,  0.71759789E+09,   0.99722690E+07,  -0.37538644E+08,  -0.52526832E+09,  -0.54913812E+06,   0.13570619E+09,   0.58050464E+08,   0.00000000E+00,   0.89976630E-06,
   121.498,   1,  0.78537382E+09,   0.10258569E+08,  -0.54473960E+08,  -0.55914035E+09,  -0.69971275E+06,   0.13978565E+09,   0.61520244E+08,   0.00000000E+00,   0.78759673E-06,
   131.498,   1,  0.85193338E+09,   0.10723230E+08,  -0.78001264E+08,  -0.60619942E+09,  -0.86754775E+06,   0.14063054E+09,   0.65072688E+08,   0.00000000E+00,   0.77795653E-06,
   141.498,   1,  0.91881517E+09,   0.10878275E+08,  -0.10491157E+09,  -0.66001965E+09,  -0.10317998E+07,   0.14279605E+09,   0.69184768E+08,   0.00000000E+00,   0.77946413E-06,
   151.498,   1,  0.10026284E+10,   0.11494902E+08,  -0.13873784E+09,  -0.72767117E+09,  -0.11598015E+07,   0.14553766E+09,   0.75115816E+08,   0.00000000E+00,   0.73814342E-06,
   161.498,   1,  0.10743195E+10,   0.11682105E+08,  -0.16850834E+09,  -0.78721299E+09,  -0.14025794E+07,   0.14772586E+09,   0.79350880E+08,   0.00000000E+00,   0.73802349E-06,
   171.498,   1,  0.11372367E+10,   0.12107450E+08,  -0.19373379E+09,  -0.83766650E+09,  -0.16509616E+07,   0.14830466E+09,   0.82952952E+08,   0.00000000E+00,   0.73281475E-06,
   181.498,   1,  0.11898604E+10,   0.12401163E+08,  -0.21451784E+09,  -0.87923424E+09,  -0.18655956E+07,   0.14845320E+09,   0.84929480E+08,   0.00000000E+00,   0.72991705E-06,
   191.498,   1,  0.12288069E+10,   0.12419650E+08,  -0.22932723E+09,  -0.90885408E+09,  -0.22133702E+07,   0.14845355E+09,   0.85849776E+08,   0.00000000E+00,   0.71031526E-06,
   201.498,   1,  0.12620888E+10,   0.12419650E+08,  -0.24168173E+09,  -0.93356320E+09,  -0.25381258E+07,   0.14845355E+09,   0.86267232E+08,   0.00000000E+00,   0.68610546E-06,
   211.498,   1,  0.12889967E+10,   0.12520349E+08,  -0.25204451E+09,  -0.95428621E+09,  -0.27672470E+07,   0.14845355E+09,   0.86537520E+08,   0.00000000E+00,   0.68060188E-06,
   221.498,   1,  0.13134299E+10,   0.12580771E+08,  -0.26133650E+09,  -0.97287130E+09,  -0.33792885E+07,   0.14867861E+09,   0.86747008E+08,   0.00000000E+00,   0.68739808E-06,
   231.498,   1,  0.13365243E+10,   0.12580771E+08,  -0.27010717E+09,  -0.99041363E+09,  -0.39515118E+07,   0.14940498E+09,   0.86911424E+08,   0.00000000E+00,   0.69916080E-06,
   241.498,   1,  0.13589308E+10,   0.12652886E+08,  -0.27853990E+09,  -0.10072758E+10,  -0.43797800E+07,   0.14979008E+09,   0.87063232E+08,   0.00000000E+00,   0.69618932E-06,
   251.498,   1,  0.13802691E+10,   0.12652886E+08,  -0.29764176E+09,  -0.10454799E+10,  -0.48415800E+07,   0.14998134E+09,   0.87193920E+08,   0.00000000E+00,   0.70993977E-06,
   261.498,   1,  0.14011016E+10,   0.12819963E+08,  -0.31743786E+09,  -0.10850706E+10,  -0.51604460E+07,   0.15072846E+09,   0.87322992E+08,   0.00000000E+00,   0.76410805E-06,
   271.498,   1,  0.14212244E+10,   0.12861564E+08,  -0.32826746E+09,  -0.11276589E+10,  -0.55228365E+07,   0.15168829E+09,   0.87440888E+08,   0.00000000E+00,   0.83657241E-06,
   281.498,   1,  0.14423058E+10,   0.13575736E+08,  -0.32826746E+09,  -0.11879706E+10,  -0.57247655E+07,   0.15269066E+09,   0.87657360E+08,   0.00000000E+00,   0.82485557E-06,
   291.498,   1,  0.14617777E+10,   0.13578425E+08,  -0.32826746E+09,  -0.12438968E+10,  -0.59630930E+07,   0.15362560E+09,   0.87815512E+08,   0.00000000E+00,   0.71532206E-06,
   301.497,   1,  0.14807592E+10,   0.13584426E+08,  -0.32826746E+09,  -0.12977224E+10,  -0.61204825E+07,   0.15492579E+09,   0.87981112E+08,   0.00000000E+00,   0.90425053E-06,
   311.495,   1,  0.14994620E+10,   0.13587941E+08,  -0.32826746E+09,  -0.13535278E+10,  -0.63477975E+07,   0.15700970E+09,   0.88178864E+08,   0.00000000E+00,   0.15286741E-05,
   321.498,   1,  0.15270738E+10,   0.14839851E+08,  -0.32826746E+09,  -0.14229196E+10,  -0.64365940E+07,   0.16079502E+09,   0.89577144E+08,   0.00000000E+00,   0.60983145E-05,
   331.499,   1,  0.15523292E+10,   0.15100321E+08,  -0.32826746E+09,  -0.15026833E+10,  -0.64885880E+07,   0.16451285E+09,   0.90888872E+08,   0.00000000E+00,  -0.19776212E-04,
   341.495,   1,  0.15727876E+10,   0.15144346E+08,  -0.32826746E+09,  -0.15430458E+10,  -0.65438175E+07,   0.16842691E+09,   0.91302808E+08,   0.00000000E+00,  -0.10230264E-04,
   351.500,   1,  0.16121212E+10,   0.16282107E+08,  -0.32826746E+09,  -0.15769510E+10,  -0.65795590E+07,   0.17593619E+09,   0.94353040E+08,   0.00000000E+00,  -0.24928676E-04,
   361.497,   1,  0.16506719E+10,   0.17242504E+08,  -0.32826746E+09,  -0.16174217E+10,  -0.66279035E+07,   0.18480242E+09,   0.96680904E+08,   0.00000000E+00,  -0.11745901E-03,
